Category,Metric,Value,Percentage,Status
PROCESSING METRICS,Total Records Processed,5,100.00%,INFO
PROCESSING METRICS,Total Columns,9,-,INFO
DATA QUALITY,Total Bad Data Detected,1,20.00%,WARNING
DATA QUALITY,Bad Data Percentage,20.00%,-,WARNING
DATA QUALITY,Total Clean Records,4,80.00%,WARNING
DATA QUALITY,Data Quality Score,80.00,80.00%,GOOD
ANOMALY ANALYSIS,Invalid Emails,1,20.00%,HIGH
ANOMALY ANALYSIS,Null Blank,1,20.00%,HIGH
ANOMALY ANALYSIS,Outliers,1,20.00%,HIGH
CLEANSING METRICS,Cleansing Operations Performed,3,-,INFO
CLEANSING METRICS,Total Records Affected by Cleansing,3,60.00%,INFO
CLEANSING METRICS,Records Removed (Duplicates),0,0.00%,INFO
CLEANSING METRICS,Cleansing Success Rate,400.00%,-,EXCELLENT
CLEANSING METRICS,Records After Cleansing,5,100.00%,INFO
