dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,1500,8,1140,76.0
Category,allowed_value_violations,1500,8,0,0.0
Category,business_rule_violations,1500,8,0,0.0
Category,datatype_violations,1500,8,0,0.0
Category,duplicate_primary_keys,1500,8,0,0.0
Category,duplicates,1500,8,0,0.0
Category,invalid_dates,1500,8,0,0.0
Category,invalid_emails,1500,8,27,1.7999999999999998
Category,missing_mandatory_columns,1500,8,0,0.0
Category,negative_values,1500,8,0,0.0
Category,null_blank,1500,8,747,49.8
Category,outliers,1500,8,339,22.6
Category,pattern_violations,1500,8,27,1.7999999999999998
Category,range_violations,1500,8,0,0.0
Category,referential_integrity,1500,8,0,0.0
Category,special_characters,1500,8,0,0.0
