dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,4,9,5,125.0
Category,allowed_value_violations,4,9,0,0.0
Category,datatype_violations,4,9,0,0.0
Category,duplicate_primary_keys,4,9,0,0.0
Category,duplicates,4,9,0,0.0
Category,invalid_dates,4,9,0,0.0
Category,invalid_emails,4,9,1,25.0
Category,mandatory_field_violations,4,9,1,25.0
Category,missing_mandatory_columns,4,9,0,0.0
Category,mixed_types,4,9,0,0.0
Category,negative_values,4,9,0,0.0
Category,null_blank,4,9,1,25.0
Category,outliers,4,9,0,0.0
Category,pattern_violations,4,9,2,50.0
Category,range_violations,4,9,0,0.0
Category,referential_integrity,4,9,0,0.0
Category,special_characters,4,9,0,0.0
