dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,54,18,28,51.85185185185185
Category,allowed_value_violations,54,18,0,0.0
Category,business_rule_violations,54,18,0,0.0
Category,datatype_violations,54,18,0,0.0
Category,duplicate_primary_keys,54,18,0,0.0
Category,duplicates,54,18,0,0.0
Category,invalid_dates,54,18,0,0.0
Category,invalid_emails,54,18,3,5.555555555555555
Category,missing_mandatory_columns,54,18,0,0.0
Category,mixed_types,54,18,0,0.0
Category,negative_values,54,18,0,0.0
Category,null_blank,54,18,13,24.074074074074073
Category,outliers,54,18,9,16.666666666666664
Category,pattern_violations,54,18,3,5.555555555555555
Category,range_violations,54,18,0,0.0
Category,referential_integrity,54,18,0,0.0
Category,special_characters,54,18,0,0.0
