category,count,weight,weighted_penalty
allowed_value_violations,0.0,10.0,0.0
business_rule_violations,0.0,10.0,0.0
datatype_violations,0.0,10.0,0.0
duplicate_primary_keys,0.0,15.0,0.0
duplicates,0.0,10.0,0.0
invalid_dates,0.0,10.0,0.0
invalid_emails,300.0,10.0,0.15
missing_mandatory_columns,0.0,20.0,0.0
mixed_types,0.0,10.0,0.0
negative_values,0.0,10.0,0.0
null_blank,350.0,15.0,0.2625
outliers,300.0,10.0,0.15
pattern_violations,300.0,10.0,0.15
range_violations,0.0,10.0,0.0
referential_integrity,0.0,10.0,0.0
special_characters,0.0,5.0,0.0
