Category,Metric,Value,Percentage,Status
PROCESSING METRICS,Total Records Processed,5,100.00%,INFO
PROCESSING METRICS,Total Columns,4,-,INFO
DATA QUALITY,Total Bad Data Detected,4,80.00%,CRITICAL
DATA QUALITY,Bad Data Percentage,80.00%,-,CRITICAL
DATA QUALITY,Total Clean Records,1,20.00%,CRITICAL
DATA QUALITY,Data Quality Score,20.00,20.00%,CRITICAL
ANOMALY ANALYSIS,Null Blank,5,100.00%,HIGH
ANOMALY ANALYSIS,Invalid Emails,2,40.00%,HIGH
ANOMALY ANALYSIS,Pattern Violations,2,40.00%,HIGH
CLEANSING METRICS,Cleansing Operations Performed,1,-,INFO
CLEANSING METRICS,Total Records Affected by Cleansing,2,40.00%,INFO
CLEANSING METRICS,Records Removed (Duplicates),0,0.00%,INFO
CLEANSING METRICS,Cleansing Success Rate,20.00%,-,WARNING
CLEANSING METRICS,Records After Cleansing,5,100.00%,INFO
