dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,10000,9,5995,59.95
Category,allowed_value_violations,10000,9,0,0.0
Category,business_rule_violations,10000,9,0,0.0
Category,datatype_violations,10000,9,0,0.0
Category,duplicate_primary_keys,10000,9,0,0.0
Category,duplicates,10000,9,0,0.0
Category,invalid_dates,10000,9,0,0.0
Category,invalid_emails,10000,9,250,2.5
Category,missing_mandatory_columns,10000,9,0,0.0
Category,mixed_types,10000,9,0,0.0
Category,negative_values,10000,9,0,0.0
Category,null_blank,10000,9,4611,46.11
Category,outliers,10000,9,884,8.84
Category,pattern_violations,10000,9,250,2.5
Category,range_violations,10000,9,0,0.0
Category,referential_integrity,10000,9,0,0.0
Category,special_characters,10000,9,0,0.0
