Category,Metric,Value,Percentage,Status
PROCESSING METRICS,Total Records Processed,20000,100.00%,INFO
PROCESSING METRICS,Total Columns,7,-,INFO
DATA QUALITY,Total Bad Data Detected,950,4.75%,OK
DATA QUALITY,Bad Data Percentage,4.75%,-,OK
DATA QUALITY,Total Clean Records,19050,95.25%,GOOD
DATA QUALITY,Data Quality Score,95.25,95.25%,EXCELLENT
ANOMALY ANALYSIS,Null Blank,350,1.75%,LOW
ANOMALY ANALYSIS,Invalid Emails,300,1.50%,LOW
ANOMALY ANALYSIS,Outliers,300,1.50%,LOW
ANOMALY ANALYSIS,Pattern Violations,300,1.50%,LOW
CLEANSING METRICS,Cleansing Operations Performed,2,-,INFO
CLEANSING METRICS,Total Records Affected by Cleansing,250,1.25%,INFO
CLEANSING METRICS,Records Removed (Duplicates),0,0.00%,INFO
CLEANSING METRICS,Cleansing Success Rate,2005.26%,-,EXCELLENT
CLEANSING METRICS,Records After Cleansing,20000,100.00%,INFO
