Category,Metric,Value,Percentage,Status
PROCESSING METRICS,Total Records Processed,5,100.00%,INFO
PROCESSING METRICS,Total Columns,9,-,INFO
DATA QUALITY,Total Bad Data Detected,9,180.00%,CRITICAL
DATA QUALITY,Bad Data Percentage,180.00%,-,CRITICAL
DATA QUALITY,Total Clean Records,0,0.00%,CRITICAL
DATA QUALITY,Data Quality Score,0.00,0.00%,CRITICAL
ANOMALY ANALYSIS,Missing Mandatory Columns,9,180.00%,HIGH
ANOMALY ANALYSIS,Null Blank,1,20.00%,HIGH
ANOMALY ANALYSIS,Outliers,1,20.00%,HIGH
CLEANSING METRICS,Cleansing Operations Performed,2,-,INFO
CLEANSING METRICS,Total Records Affected by Cleansing,2,40.00%,INFO
CLEANSING METRICS,Records Removed (Duplicates),0,0.00%,INFO
CLEANSING METRICS,Cleansing Success Rate,0.00%,-,WARNING
CLEANSING METRICS,Records After Cleansing,5,100.00%,INFO
