dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,6,4,0,0.0
Category,allowed_value_violations,6,4,0,0.0
Category,business_rule_violations,6,4,0,0.0
Category,datatype_violations,6,4,0,0.0
Category,duplicate_primary_keys,6,4,0,0.0
Category,duplicates,6,4,0,0.0
Category,invalid_dates,6,4,0,0.0
Category,invalid_emails,6,4,0,0.0
Category,missing_mandatory_columns,6,4,0,0.0
Category,negative_values,6,4,0,0.0
Category,null_blank,6,4,0,0.0
Category,outliers,6,4,0,0.0
Category,pattern_violations,6,4,0,0.0
Category,range_violations,6,4,0,0.0
Category,referential_integrity,6,4,0,0.0
Category,special_characters,6,4,0,0.0
