dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,20,18,0,0.0
Category,allowed_value_violations,20,18,0,0.0
Category,business_rule_violations,20,18,0,0.0
Category,datatype_violations,20,18,0,0.0
Category,duplicate_primary_keys,20,18,0,0.0
Category,duplicates,20,18,0,0.0
Category,invalid_dates,20,18,0,0.0
Category,invalid_emails,20,18,0,0.0
Category,missing_mandatory_columns,20,18,0,0.0
Category,mixed_types,20,18,0,0.0
Category,negative_values,20,18,0,0.0
Category,null_blank,20,18,0,0.0
Category,outliers,20,18,0,0.0
Category,pattern_violations,20,18,0,0.0
Category,range_violations,20,18,0,0.0
Category,referential_integrity,20,18,0,0.0
Category,special_characters,20,18,0,0.0
