column_name,inferred_dtype,row_count,non_null_count,null_count,blank_count,null_percentage,distinct_count,distinct_ratio,top_values
CUSTOMER_ID,string,20,20,0,0,0.0,20,1.0,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}"
CUSTOMER_NAME,string,20,20,0,0,0.0,20,1.0,"{""John Smith"": 1, ""Jane Doe"": 1, ""Bob Johnson"": 1, ""Alice Williams"": 1, ""Charlie Brown"": 1}"
EMAIL,string,20,20,0,0,0.0,20,1.0,"{""john.smith@example.com"": 1, ""jane.doe@example.com"": 1, ""bob.johnson@example.com"": 1, ""alice.williams@example.com"": 1, ""charlie.brown@example.com"": 1}"
PHONE,string,20,20,0,0,0.0,20,1.0,"{""5551234567"": 1, ""5552345678"": 1, ""5553456789"": 1, ""5554567890"": 1, ""5555678901"": 1}"
COUNTRY,string,20,20,0,0,0.0,13,0.65,"{""USA"": 6, ""Canada"": 2, ""UK"": 2, ""Australia"": 1, ""Germany"": 1}"
STATE,string,20,20,0,0,0.0,20,1.0,"{""California"": 1, ""New York"": 1, ""Ontario"": 1, ""England"": 1, ""NSW"": 1}"
CITY,string,20,20,0,0,0.0,20,1.0,"{""Los Angeles"": 1, ""New York"": 1, ""Toronto"": 1, ""London"": 1, ""Sydney"": 1}"
POSTAL_CODE,string,20,20,0,0,0.0,20,1.0,"{""90001"": 1, ""10001"": 1, ""M5H2N2"": 1, ""SW1A1AA"": 1, ""2000"": 1}"
REGISTRATION_DATE,string,20,20,0,0,0.0,20,1.0,"{""2023-01-15"": 1, ""2023-02-20"": 1, ""2023-03-10"": 1, ""2023-04-05"": 1, ""2023-05-12"": 1}"
LAST_PURCHASE_DATE,string,20,20,0,0,0.0,20,1.0,"{""2024-05-20"": 1, ""2024-05-18"": 1, ""2024-05-15"": 1, ""2024-05-10"": 1, ""2024-05-05"": 1}"
PURCHASE_AMOUNT,string,20,20,0,0,0.0,20,1.0,"{""1500.5"": 1, ""2000.0"": 1, ""500.0"": 1, ""3000.0"": 1, ""750.0"": 1}"
TOTAL_ORDERS,string,20,20,0,0,0.0,20,1.0,"{""25"": 1, ""30"": 1, ""10"": 1, ""45"": 1, ""15"": 1}"
CREDIT_SCORE,string,20,20,0,0,0.0,19,0.95,"{""750"": 2, ""800"": 1, ""680"": 1, ""820"": 1, ""700"": 1}"
ACCOUNT_STATUS,string,20,20,0,0,0.0,1,0.05,"{""ACTIVE"": 20}"
IS_ACTIVE,string,20,20,0,0,0.0,1,0.05,"{""1"": 20}"
CUSTOMER_SEGMENT,string,20,20,0,0,0.0,2,0.1,"{""STANDARD"": 11, ""PREMIUM"": 9}"
CREATED_DATE,string,20,20,0,0,0.0,1,0.05,"{""2026-06-16 10:09:09"": 20}"
UPDATED_DATE,string,20,20,0,0,0.0,1,0.05,"{""2026-06-16 10:09:09"": 20}"
