dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,20000,7,1400,7.000000000000001
Category,allowed_value_violations,20000,7,0,0.0
Category,business_rule_violations,20000,7,0,0.0
Category,datatype_violations,20000,7,0,0.0
Category,duplicate_primary_keys,20000,7,0,0.0
Category,duplicates,20000,7,0,0.0
Category,invalid_dates,20000,7,0,0.0
Category,invalid_emails,20000,7,300,1.5
Category,missing_mandatory_columns,20000,7,0,0.0
Category,mixed_types,20000,7,0,0.0
Category,negative_values,20000,7,100,0.5
Category,null_blank,20000,7,350,1.7500000000000002
Category,outliers,20000,7,250,1.25
Category,pattern_violations,20000,7,300,1.5
Category,range_violations,20000,7,100,0.5
Category,referential_integrity,20000,7,0,0.0
Category,special_characters,20000,7,0,0.0
