dimension,group,total_records,total_columns,total_issues,issue_rate
Overall,All Data,9,8,29,322.22222222222223
Category,allowed_value_violations,9,8,0,0.0
Category,business_rule_violations,9,8,1,11.11111111111111
Category,datatype_violations,9,8,0,0.0
Category,duplicate_primary_keys,9,8,0,0.0
Category,duplicates,9,8,0,0.0
Category,invalid_dates,9,8,0,0.0
Category,invalid_emails,9,8,2,22.22222222222222
Category,missing_mandatory_columns,9,8,0,0.0
Category,mixed_types,9,8,0,0.0
Category,negative_values,9,8,0,0.0
Category,null_blank,9,8,21,233.33333333333334
Category,outliers,9,8,3,33.33333333333333
Category,pattern_violations,9,8,2,22.22222222222222
Category,range_violations,9,8,0,0.0
Category,referential_integrity,9,8,0,0.0
Category,special_characters,9,8,0,0.0
