column_name,inferred_dtype,row_count,non_null_count,null_count,blank_count,null_percentage,distinct_count,distinct_ratio,top_values
CUSTOMER_ID,string,54,54,0,0,0.0,54,1.0,"{""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1}"
CUSTOMER_NAME,string,54,53,1,0,1.85,50,0.9259,"{""John Smith"": 2, ""Jane Doe"": 2, ""Bob Johnson"": 2, ""Alice Williams"": 1, ""Charlie Brown"": 1}"
EMAIL,string,54,53,1,0,1.85,48,0.8889,"{""john.smith@example.com"": 3, ""jane.doe@example.com"": 3, ""bob.johnson@example.com"": 2, ""alice.williams@example.com"": 1, ""charlie.brown@example.com"": 1}"
PHONE,string,54,53,1,0,1.85,49,0.9074,"{""5551234567"": 2, ""5552345678"": 2, ""5553456789"": 2, ""5555555555"": 2, ""5554567890"": 1}"
COUNTRY,string,54,53,1,0,1.85,15,0.2778,"{""USA"": 34, ""Canada"": 4, ""UK"": 3, ""Australia"": 1, ""Germany"": 1}"
STATE,string,54,53,1,0,1.85,46,0.8519,"{""California"": 4, ""New York"": 3, ""Ontario"": 2, ""England"": 2, ""NSW"": 1}"
CITY,string,54,53,1,0,1.85,50,0.9259,"{""Los Angeles"": 2, ""New York"": 2, ""Toronto"": 2, ""London"": 1, ""Sydney"": 1}"
POSTAL_CODE,string,54,53,1,0,1.85,49,0.9074,"{""90001"": 2, ""10001"": 2, ""M5H2N2"": 2, ""01000"": 2, ""SW1A1AA"": 1}"
REGISTRATION_DATE,string,54,53,1,0,1.85,44,0.8148,"{""2023-01-15"": 2, ""2023-02-20"": 2, ""2023-03-10"": 2, ""2024-03-01"": 2, ""2024-03-15"": 2}"
LAST_PURCHASE_DATE,string,54,53,1,0,1.85,49,0.9074,"{""2024-05-20"": 2, ""2024-05-18"": 2, ""2024-05-15"": 2, ""2024-03-15"": 2, ""2024-05-10"": 1}"
PURCHASE_AMOUNT,string,54,53,1,0,1.85,26,0.4815,"{""1100.0"": 4, ""850.0"": 4, ""2000.0"": 3, ""750.0"": 3, ""1200.0"": 3}"
TOTAL_ORDERS,string,54,53,1,0,1.85,27,0.5,"{""15.0"": 5, ""18.0"": 5, ""30.0"": 3, ""10.0"": 3, ""12.0"": 3}"
CREDIT_SCORE,string,54,53,1,0,1.85,25,0.463,"{""750.0"": 5, ""720.0"": 5, ""800.0"": 3, ""680.0"": 3, ""690.0"": 3}"
ACCOUNT_STATUS,string,54,53,1,0,1.85,2,0.037,"{""ACTIVE"": 52, ""INVALID_STATUS"": 1}"
IS_ACTIVE,string,54,54,0,0,0.0,2,0.037,"{""1"": 53, ""5"": 1}"
CUSTOMER_SEGMENT,string,54,54,0,0,0.0,3,0.0556,"{""STANDARD"": 41, ""PREMIUM"": 12, ""INVALID_SEGMENT"": 1}"
CREATED_DATE,string,54,54,0,0,0.0,2,0.037,"{""2026-06-16 10:39:51"": 34, ""2026-06-16 10:37:47"": 20}"
UPDATED_DATE,string,54,54,0,0,0.0,2,0.037,"{""2026-06-16 10:39:51"": 34, ""2026-06-16 10:37:47"": 20}"
