category,count,weight,weighted_penalty
allowed_value_violations,0.0,10.0,0.0
business_rule_violations,0.0,10.0,0.0
datatype_violations,0.0,10.0,0.0
duplicate_primary_keys,0.0,15.0,0.0
duplicates,0.0,10.0,0.0
invalid_dates,0.0,10.0,0.0
invalid_emails,250.0,10.0,0.25
missing_mandatory_columns,0.0,20.0,0.0
mixed_types,0.0,10.0,0.0
negative_values,0.0,10.0,0.0
null_blank,4611.0,15.0,6.9165
outliers,884.0,10.0,0.884
pattern_violations,250.0,10.0,0.25
range_violations,0.0,10.0,0.0
referential_integrity,0.0,10.0,0.0
special_characters,0.0,5.0,0.0
